SUID	abundance	AverageShortestPathLength	BetweennessCentrality	class	ClosenessCentrality	ClusteringCoefficient	degree	Eccentricity	family	genus	isafeature	IsSingleNode	kingdom	Label	lineage	name	negdegree	NeighborhoodConnectivity	NumberOfDirectedEdges	NumberOfUndirectedEdges	order	oriID	PartnerOfMultiEdgedNodePairs	phylum	posdegree	Radiality	samplecount	selected	SelfLoops	shared.name	species	Stress	taxon	TopologicalCoefficient	unknowndegree
4771	0.208235893185522	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo54718	Bacteria--OTU_BV5denovo54718	OTU-BV5denovo54718	5	605	5	0	none	OTU-BV5denovo54718	0	none	0	0.74320828	64	FALSE	0	OTU-BV5denovo54718	none	562	OTU_BV5denovo54718	0.81292059	0
4273	0.927825052878181	202.716.688	9.9e-07	Bacilli	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	Bacillales	Bacteria--Firmicutes--Bacilli--Bacillales	Bacillales	5	605	5	0	Bacillales	Bacillales	0	Firmicutes	0	0.74320828	108	FALSE	0	Bacillales	none	562	Bacillales	0.81292059	0
3918	0.433561548422622	202.716.688	9.9e-07	Actinobacteria1	0.4932993	0	5	4	Nocardiaceae	Rhodococcus	no	FALSE	Bacteria	Rhodococcus	Bacteria--Actinobacteria--Actinobacteria1--Actinomycetales--Nocardiaceae--Rhodococcus	Rhodococcus	5	605	5	0	Actinomycetales	Rhodococcus	0	Actinobacteria	0	0.74320828	68	FALSE	0	Rhodococcus	none	562	Rhodococcus	0.81292059	0
3853	0.108792405920811	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Unclassified	OTU-BV5denovo238064	Unclassified--OTU_BV5denovo238064	OTU-BV5denovo238064	5	605	5	0	none	OTU-BV5denovo238064	0	none	0	0.74320828	44	FALSE	0	OTU-BV5denovo238064	none	562	OTU_BV5denovo238064	0.81292059	0
3775	0.28282074200645	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo197455	Bacteria--OTU_BV5denovo197455	OTU-BV5denovo197455	5	605	5	0	none	OTU-BV5denovo197455	0	none	0	0.74320828	87	FALSE	0	OTU-BV5denovo197455	none	562	OTU_BV5denovo197455	0.81292059	0
3556	0.435791766932033	202.716.688	9.9e-07	Leotiomycetes	0.4932993	0	5	4	Incertae sedis	Incertae sediscross166	no	FALSE	Fungi	Incertae sediscross166	Fungi--Ascomycota--Leotiomycetes--Helotiales--Incertae sedis--Incertae sediscross166	Incertae sediscross166	5	605	5	0	Helotiales	Incertae sediscross166	0	Ascomycota	0	0.74320828	57	FALSE	0	Incertae sediscross166	none	562	Incertae sediscross166	0.81292059	0
2812	0.169199661469075	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo214277	Bacteria--OTU_BV5denovo214277	OTU-BV5denovo214277	5	605	5	0	none	OTU-BV5denovo214277	0	none	0	0.74320828	61	FALSE	0	OTU-BV5denovo214277	none	562	OTU_BV5denovo214277	0.81292059	0
2771	0.12978994071387	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo77779	Bacteria--OTU_BV5denovo77779	OTU-BV5denovo77779	5	605	5	0	none	OTU-BV5denovo77779	0	none	0	0.74320828	43	FALSE	0	OTU-BV5denovo77779	none	562	OTU_BV5denovo77779	0.81292059	0
2584	0.209467126404236	202.716.688	9.9e-07	none	0.4932993	0	5	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo209205	Bacteria--OTU_BV5denovo209205	OTU-BV5denovo209205	5	605	5	0	none	OTU-BV5denovo209205	0	none	0	0.74320828	71	FALSE	0	OTU-BV5denovo209205	none	562	OTU_BV5denovo209205	0.81292059	0
2282	0.471981175350774	202.069.858	9.9e-07	none	0.49487836	0.72222222	9	4	none	none	no	FALSE	Bacteria	OTU-BV5denovo10514	Bacteria--OTU_BV5denovo10514	OTU-BV5denovo10514	5	347	9	0	none	OTU-BV5denovo10514	0	none	4	0.74482536	110	FALSE	0	OTU-BV5denovo10514	none	562	OTU_BV5denovo10514	0.46328438	0
